,Districts,Address,Postcode,Lat,Lon,Names,Cities
77,Hochelaga-Maisonneuve,"Place Gennevilliers-Laliberté, Montreal, QC H1V 3V3, Canada",H1V 3V3,45.5542681,-73.53931417224238,N/A,Montreal
78,Rosemont,"Chemin de ceinture, Montreal, QC H1V 3N7, Canada",H1V 3N7,45.5613953,-73.55973878110987,N/A,Montreal
79,La Petite-Patrie,"7070 Avenue Henri-Julien, Montreal, QC H2S 3S3, Canada",H2S 3S3,45.5366097,-73.6145883,N/A,Montreal
80,N/A,"Avenue du Parc, Montreal, QC H2W 2N4, Canada",H2W 2N4,45.5150284,-73.5847609,N/A,Montreal
81,TOD quartier Berri UQAM,"Rue Berri, Montreal, QC H2L 0A9, Canada",H2L 0A9,45.516858,-73.563549,N/A,Montreal
82,N/A,"Avenue de l'Alsace, Montreal, QC H1J 2V2, Canada",H1J 2V2,45.6040789,-73.5834476,N/A,Montreal
83,TOD quartier Berri UQAM,"475 Boulevard De Maisonneuve Est, Montreal, QC H2L 5V4, Canada",H2L 5V4,45.5158666,-73.56275,N/A,Montreal
84,N/A,"Rue de Mentana, Montreal, QC H2J 1G8, Canada",H2J 1G8,45.5317717,-73.5872689,N/A,Montreal
85,N/A,"Chemin du Cap Saint-Jacques, Montreal, QC H9K 1G5, Canada",H9K 1G5,45.4705789,-73.9349749,N/A,Montreal
86,N/A,"2000 Chemin Remembrance, Montreal, QC H3Y 1H3, Canada",H3Y 1H3,45.4983131,-73.5991565,N/A,Montreal
87,N/A,"Circuit Gilles-Villeneuve, Montreal, QC H3C 4W7, Canada",H3C 4W7,45.4979555,-73.5238115,N/A,Montreal
88,N/A,"La ligne verte, Montreal, QC H2V 3R5, Canada",H2V 3R5,45.5100442,-73.6003631,N/A,Montreal
89,Ahuntsic,"Rue de L'Île-De-La-Visitation, Montreal, QC H2B 1W9, Canada",H2B 1W9,45.5767666,-73.6619467,N/A,Montreal
90,Ahuntsic,"Parc Nature de l'Ile-de-la-Visitation, Montreal, QC H2B 2W3, Canada",H2B 2W3,45.5787945,-73.65747,N/A,Montreal
91,N/A,"Rue Park Row Ouest, Montreal, QC H4B 1V3, Canada",H4B 1V3,45.460793,-73.6323158,N/A,Montreal
92,N/A,"4770 Circle Road, Montreal, QC H3W 1Z4, Canada",H3W 1Z4,45.4834493,-73.6200389,N/A,Montreal
93,N/A,"4770 Circle Road, Montreal, QC H3W 1Z4, Canada",H3W 1Z4,45.4834793,-73.6200939,N/A,Montreal
94,Vieux-Montréal,"Multipurpose path, Montreal, QC H2Y 1J1, Canada",H2Y 1J1,45.5059809,-73.5527497,N/A,Montreal
95,Rosemont,"Chemin de ceinture, Montreal, QC H1V 3N7, Canada",H1V 3N7,45.5605515,-73.5596886,N/A,Montreal
96,Rosemont,"Boulevard Pie-IX, Montreal, QC H1X 1T8, Canada",H1X 1T8,45.5561768,-73.557125,N/A,Montreal
97,Rosemont,"Rue Sherbrooke Est, Montreal, QC H1T 4B5, Canada",H1T 4B5,45.561363,-73.5551959,N/A,Montreal
98,Rosemont,"Rue Sherbrooke Est, Montreal, QC H1T 4B5, Canada",H1T 4B5,45.5613776,-73.5551639,N/A,Montreal
99,Rosemont,"Chemin de ceinture, Montreal, QC H1T 3E3, Canada",H1T 3E3,45.564353,-73.5690671,N/A,Montreal
100,Rosemont,"Boulevard Rosemont, Montreal, QC H1T 2V6, Canada",H1T 2V6,45.5657663,-73.5691334,N/A,Montreal
101,Rosemont,"Place Marie-Victorin, Montreal, QC H1X 3E3, Canada",H1X 3E3,45.5567258,-73.5563524,N/A,Montreal
102,N/A,"Washrooms, Balaclava Street, Vancouver, BC V6L, Canada",V6L,49.2452874,-123.175468,Washrooms,Vancouver
